gp,min,fgm,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,reb,stl,blk,target_5yrs,shooting_accuracy,assist_turnover_ratio
72,12.4,1.6,42.3,0.0,0.1,0.0,1.4,1.8,80.3,0.4,0.9,1.3,0.6,0.1,1,1.2105263157894737,1.4615384615384615
69,11.8,1.6,45.2,0.0,0.0,100.0,0.3,0.4,82.1,1.1,1.6,2.7,0.5,0.3,1,1.0,1.0
54,11.3,2.2,56.8,0.0,0.1,0.0,1.3,2.0,66.1,1.4,2.0,3.4,0.6,0.7,1,1.5000000000000002,0.37499999999999994
24,10.6,1.3,30.3,0.6,1.7,36.6,1.0,1.5,66.7,0.1,0.5,0.7,0.7,0.1,0,1.0,1.1538461538461537
50,9.6,1.5,41.5,0.1,0.5,19.2,0.9,1.2,75.4,0.4,0.7,1.1,0.6,0.1,1,1.108108108108108,1.8
56,9.6,1.4,45.6,0.0,0.1,0.0,0.7,1.0,65.5,0.5,0.8,1.2,0.6,0.2,1,1.1333333333333333,1.375
67,9.0,1.4,38.8,0.4,1.3,29.2,0.5,0.7,75.6,0.1,0.6,0.7,0.4,0.1,0,1.027777777777778,1.4
50,8.7,1.0,38.0,0.0,0.1,14.3,0.5,0.8,65.9,0.3,0.5,0.8,0.7,0.1,1,0.9615384615384615,1.6
45,8.5,1.1,47.5,0.0,0.0,0.0,0.5,0.7,75.0,0.7,0.8,1.5,0.2,0.2,1,1.2272727272727273,0.5
38,8.2,1.4,36.8,0.2,0.7,22.2,0.5,0.6,82.6,0.3,0.6,0.9,0.3,0.1,0,0.8947368421052632,1.1666666666666667
42,8.2,1.0,43.9,0.0,0.0,0.0,0.7,1.4,52.5,0.9,1.0,1.9,0.1,0.1,0,1.2173913043478262,0.37499999999999994
54,8.2,1.3,45.6,0.1,0.3,18.8,0.6,0.8,74.4,0.7,0.6,1.3,0.2,0.1,0,1.142857142857143,1.2
35,7.3,1.8,39.2,0.1,0.3,20.0,0.4,0.8,53.6,0.6,0.6,1.2,0.4,0.2,0,0.8888888888888888,0.7499999999999999
37,7.3,1.2,44.3,0.1,0.3,18.2,0.5,0.6,81.0,0.4,0.7,1.1,0.2,0.1,0,1.0769230769230769,0.6
46,6.7,1.1,43.1,0.2,0.8,27.0,0.2,0.4,52.6,0.4,0.4,0.8,0.2,0.0,0,1.04,1.6666666666666667
51,6.4,0.8,38.4,0.3,0.6,43.3,0.3,0.4,83.3,0.3,0.5,0.8,0.1,0.0,0,1.0,1.0
40,5.3,0.7,38.0,0.0,0.0,0.0,0.9,1.1,75.6,0.5,0.7,1.2,0.1,0.1,0,1.2222222222222223,0.6
19,4.8,0.7,37.8,0.0,0.1,0.0,0.2,0.4,37.5,0.6,0.4,1.0,0.3,0.2,0,0.8421052631578948,1.3333333333333335
36,4.3,0.5,35.3,0.1,0.5,11.8,0.3,0.4,66.7,0.2,0.4,0.6,0.1,0.0,0,0.9285714285714287,1.2
79,37.7,6.9,42.2,0.0,0.1,27.3,4.1,5.5,73.6,2.4,6.4,8.8,1.4,1.1,1,1.0909090909090908,1.3793103448275863
55,13.1,1.2,30.4,0.4,1.9,20.4,0.6,0.9,74.5,0.4,0.8,1.2,0.7,0.1,0,0.8717948717948718,0.7142857142857143
74,35.2,6.9,46.7,0.2,0.5,34.2,4.4,6.0,73.1,3.6,6.6,10.3,1.0,1.3,1,1.2348993288590602,0.7586206896551725
64,33.5,4.6,40.6,1.1,3.1,36.5,4.0,5.2,77.0,0.8,1.9,2.8,1.3,0.2,0,1.2654867256637168,1.6
82,28.5,6.1,42.5,1.5,4.1,37.4,1.9,2.5,75.0,0.8,2.1,2.9,0.8,0.3,1,1.0902777777777777,1.0
82,27.4,3.2,45.0,0.0,0.2,7.7,0.8,1.2,71.1,1.3,1.6,3.0,2.0,0.2,1,1.0285714285714287,2.909090909090909
81,25.9,2.4,51.2,0.0,0.0,0.0,2.2,3.1,72.2,3.4,4.6,7.9,0.6,1.5,1,1.5106382978723403,0.3333333333333333
76,25.4,4.5,44.1,0.1,0.4,13.3,3.0,3.9,78.2,1.5,2.0,3.4,0.9,0.3,1,1.1764705882352942,0.7368421052631579
82,23.7,3.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,1.0,0.2,0,1.16,2.4705882352941178
82,23.7,3.5,46.4,0.1,0.4,20.6,1.7,1.9,87.3,0.5,1.7,2.2,1.0,0.2,1,1.16,2.4705882352941178
49,9.2,0.7,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,0.5,0.1,0,0.95,2.8333333333333335
49,9.2,0.7,32.7,0.1,0.6,21.4,0.5,0.8,64.9,0.2,0.7,0.8,0.5,0.1,1,0.95,2.8333333333333335
82,23.7,4.6,45.0,0.0,0.2,14.3,1.9,2.2,83.5,1.3,1.9,3.2,1.3,0.5,1,1.0784313725490198,1.85
76,22.6,2.8,50.8,0.0,0.0,0.0,1.4,2.2,63.6,1.9,3.3,5.1,0.6,1.9,1,1.2777777777777777,0.6923076923076923
67,22.5,6.2,41.3,0.4,1.5,24.0,1.3,1.5,85.7,0.5,1.3,1.8,0.8,0.1,1,0.9337748344370861,1.9375
70,20.6,3.6,43.9,0.0,0.4,9.7,1.6,2.2,70.7,0.9,1.2,2.1,0.4,0.2,0,1.0731707317073174,1.5625
81,20.5,3.4,42.8,0.3,1.0,29.9,1.5,1.9,81.6,1.2,2.3,3.5,0.5,0.3,1,1.0886075949367087,1.2
33,19.5,2.4,49.7,0.1,0.3,40.0,2.3,2.7,84.3,1.4,1.9,3.3,0.6,0.3,1,1.5,1.5555555555555554
58,19.3,2.0,41.7,0.0,0.1,0.0,1.2,2.2,55.0,2.3,3.3,5.6,0.6,1.2,0,1.0816326530612244,0.4444444444444445
70,16.9,3.0,41.9,0.1,0.3,25.0,1.1,1.3,79.6,0.5,1.1,1.7,0.3,0.1,0,1.0,1.3
82,16.5,2.0,41.2,0.1,0.4,17.6,0.9,1.2,74.7,0.7,1.2,1.9,0.8,0.1,1,1.0208333333333335,2.3333333333333335
62,16.2,2.6,38.0,0.3,1.0,29.2,1.5,1.9,77.3,0.7,1.2,1.9,0.5,0.1,0,1.0298507462686568,1.0
78,16.1,2.6,42.5,0.0,0.1,0.0,1.1,1.7,67.2,1.5,2.8,4.3,0.2,0.3,0,1.0333333333333334,0.28571428571428575
73,16.1,2.4,48.7,0.0,0.0,0.0,0.7,1.0,66.2,1.7,3.1,4.8,0.3,0.3,1,1.1224489795918366,0.7142857142857143
74,16.1,2.0,49.2,0.0,0.0,0.0,1.3,2.1,63.2,2.1,3.1,5.2,0.5,0.4,1,1.325,0.3
76,15.4,2.8,42.1,0.2,0.8,29.8,0.8,1.2,63.0,1.5,1.4,2.9,0.6,0.3,0,0.9852941176470589,0.888888888888889
55,14.9,2.4,46.5,0.0,0.1,0.0,0.9,1.2,71.2,1.5,2.7,4.2,0.6,0.5,1,1.0961538461538463,0.7499999999999999
47,14.3,2.3,44.6,0.0,0.2,18.2,1.0,1.7,58.8,0.4,1.1,1.5,0.7,0.2,0,1.0980392156862746,1.7499999999999998
37,13.6,3.0,44.1,0.6,1.6,40.0,1.4,1.9,72.2,0.7,1.4,2.1,0.4,0.1,1,1.1739130434782608,0.9
62,13.3,1.7,46.5,0.0,0.0,0.0,0.9,1.4,64.4,0.8,1.9,2.7,0.2,0.2,0,1.162162162162162,0.6
62,12.5,1.4,38.4,0.1,0.5,16.1,1.0,1.2,80.5,0.3,0.8,1.0,0.5,0.1,0,1.054054054054054,1.4444444444444444
51,11.9,2.9,43.8,0.0,0.3,11.8,1.0,1.5,68.4,1.1,0.9,2.0,0.6,0.2,0,1.0298507462686568,1.0
36,11.8,1.7,41.3,0.0,0.0,0.0,0.4,0.8,55.6,0.8,0.6,1.4,0.4,0.0,1,0.9285714285714285,1.25
74,11.6,1.3,41.6,0.0,0.1,25.0,0.6,0.9,65.2,0.8,1.1,1.9,0.5,0.2,1,1.0,2.3333333333333335
63,11.6,3.2,48.7,0.0,0.1,16.7,1.7,2.6,66.3,1.2,1.2,2.4,0.3,0.1,1,1.2238805970149251,0.5454545454545454
33,10.8,0.9,34.8,0.1,0.3,27.3,0.3,0.4,64.3,0.2,2.0,2.2,0.5,0.2,0,0.8148148148148149,2.666666666666667
54,11.2,1.8,46.0,0.0,0.1,0.0,0.8,1.1,68.9,1.0,1.8,2.8,0.2,0.4,1,1.1282051282051284,0.8749999999999999
73,11.0,1.5,40.8,0.1,0.2,27.8,0.7,1.0,73.2,0.2,0.8,1.1,0.5,0.1,0,1.027027027027027,1.7142857142857144
15,10.9,1.3,40.4,0.0,0.1,0.0,1.1,1.6,66.7,0.8,2.2,3.0,0.3,0.3,0,1.1612903225806452,0.28571428571428575
64,10.9,1.5,44.1,0.0,0.1,0.0,0.6,0.9,70.2,0.4,0.7,1.1,0.4,0.2,1,1.0882352941176472,1.909090909090909
56,10.6,1.4,41.5,0.0,0.0,0.0,0.6,0.7,80.0,0.3,0.5,0.8,0.5,0.1,0,1.0,2.3749999999999996
64,10.6,1.2,39.1,0.0,0.0,0.0,0.9,1.2,69.6,0.4,0.8,1.2,0.3,0.1,0,1.0666666666666667,1.25
68,10.1,1.2,41.8,0.3,0.8,33.3,0.6,0.6,90.5,0.2,0.5,0.8,0.5,0.0,1,1.1071428571428572,3.1666666666666665
47,10.0,1.1,40.3,0.3,0.7,37.5,0.5,0.7,75.8,0.7,0.7,1.4,0.3,0.0,0,1.1153846153846154,1.4
52,9.8,1.4,44.7,0.0,0.0,50.0,0.7,1.1,66.1,0.8,1.3,2.1,0.2,0.1,1,1.129032258064516,0.37499999999999994
64,9.5,1.5,40.0,0.1,0.3,40.0,0.5,0.7,77.8,0.5,0.5,1.0,0.3,0.2,0,0.9736842105263159,0.8
34,10.8,1.3,36.7,0.0,0.0,0.0,0.4,0.8,44.4,0.8,1.1,1.9,0.1,0.1,0,0.8285714285714285,0.7142857142857143
42,9.5,1.6,43.9,0.0,0.0,0.0,0.5,1.0,55.0,0.7,2.2,2.9,0.1,0.7,1,1.027027027027027,0.5
50,9.3,1.9,45.8,0.1,0.4,15.8,0.6,0.7,84.8,0.4,0.9,1.3,0.2,0.0,1,1.0714285714285714,0.7
52,7.3,1.1,45.5,0.0,0.0,0.0,0.6,0.9,65.3,0.8,1.1,1.8,0.2,0.7,1,1.1666666666666667,0.6666666666666667
75,7.0,1.2,52.0,0.0,0.0,0.0,0.5,0.7,68.0,0.7,1.0,1.7,0.1,0.4,0,1.2083333333333333,0.6666666666666667
39,6.8,0.9,42.0,0.2,0.6,24.0,0.3,0.6,48.0,0.8,1.0,1.7,0.4,0.3,1,1.0476190476190477,1.6666666666666667
51,6.6,1.0,51.0,0.0,0.0,50.0,0.4,0.5,71.4,0.8,1.1,1.9,0.2,0.3,1,1.25,0.6
52,6.2,0.5,37.3,0.0,0.0,0.0,0.2,0.4,54.5,0.8,0.7,1.5,0.1,0.1,0,0.9285714285714287,1.0
39,5.8,0.5,51.3,0.0,0.0,0.0,0.5,0.5,90.5,0.5,0.6,1.2,0.1,0.1,1,1.5,2.0
82,36.6,8.4,53.1,0.0,0.0,0.0,7.5,10.2,73.2,3.7,8.3,12.0,1.7,3.9,1,1.528301886792453,0.6451612903225806
31,10.7,1.2,35.3,0.5,2.1,25.8,0.5,0.9,55.2,0.3,1.1,1.4,0.3,0.1,0,1.0303030303030303,2.0
79,33.7,5.9,47.1,0.3,1.1,27.4,2.7,3.5,76.4,0.7,3.2,3.9,2.1,0.1,0,1.176,2.6363636363636362
79,33.7,5.9,47.1,0.3,1.1,27.4,2.7,3.5,76.4,0.7,3.2,3.9,2.1,0.1,1,1.176,2.6363636363636362
82,33.6,4.4,44.0,0.0,0.1,0.0,2.3,3.5,66.4,2.4,6.0,8.4,1.1,0.7,1,1.121212121212121,0.5714285714285714
82,31.5,5.2,46.1,0.3,1.0,27.7,0.8,1.3,58.9,0.7,2.0,2.6,1.6,0.3,1,1.008849557522124,4.0
81,30.5,5.7,49.4,0.1,0.4,16.1,2.8,4.0,68.7,0.9,1.7,2.5,1.8,0.1,1,1.2327586206896552,2.533333333333333
80,30.2,4.7,44.6,0.0,0.1,0.0,3.4,4.4,76.8,2.3,3.5,5.8,0.8,0.7,1,1.221153846153846,0.9166666666666667
77,30.0,6.1,43.9,0.2,0.9,24.6,1.2,1.6,73.4,1.3,3.3,4.6,0.9,0.3,1,0.9784172661870503,1.2
77,30.0,6.1,43.9,0.2,0.9,24.6,1.2,1.6,73.4,1.3,3.3,4.6,0.9,0.3,0,0.9784172661870503,1.2
50,25.3,4.2,37.1,0.4,1.6,22.5,1.3,1.6,77.8,0.8,2.0,2.8,1.6,0.3,1,0.8859649122807017,1.909090909090909
81,25.1,3.8,48.1,0.0,0.1,11.1,2.3,2.7,86.6,1.6,2.1,3.7,0.6,0.2,1,1.25,1.3571428571428572
82,23.0,3.5,50.7,0.1,0.4,30.0,1.8,2.5,71.9,0.8,2.2,3.1,0.9,0.4,1,1.289855072463768,0.9473684210526316
50,10.6,1.5,44.9,0.0,0.3,13.3,0.6,1.1,57.4,0.9,2.0,2.9,0.2,0.4,0,1.1212121212121213,0.7499999999999999
81,22.0,4.6,49.4,0.0,0.2,5.9,2.3,3.3,70.5,1.3,2.6,3.9,0.8,0.4,1,1.2365591397849462,0.8823529411764706
82,21.7,3.3,50.4,0.0,0.0,0.0,2.4,3.3,72.7,2.1,2.6,4.7,0.5,0.7,1,1.3692307692307693,0.7857142857142858
81,20.1,3.7,40.5,1.2,2.9,39.9,1.1,1.4,80.9,0.4,1.2,1.6,0.7,0.0,1,1.065934065934066,1.6666666666666667
69,19.6,2.5,41.1,0.0,0.2,13.3,1.3,1.9,70.5,1.1,1.2,2.3,0.6,0.2,0,1.05,0.8571428571428572
82,19.1,3.6,39.7,0.1,0.5,27.3,1.7,3.1,55.0,1.3,2.4,3.8,0.7,0.7,1,0.9891304347826088,0.5625
55,18.0,2.5,47.9,0.0,0.0,0.0,1.2,1.7,66.7,1.5,1.9,3.4,0.4,0.2,0,1.173076923076923,0.9090909090909091
75,17.9,2.8,47.0,0.0,0.1,0.0,1.7,2.2,76.2,1.1,2.0,3.1,0.4,0.3,1,1.2166666666666666,0.7777777777777777
72,17.0,3.2,49.7,0.0,0.0,0.0,2.3,3.2,72.2,2.6,2.4,5.0,0.3,0.2,0,1.3384615384615384,0.8571428571428572
79,16.8,3.2,48.6,0.0,0.2,0.0,1.6,2.2,74.7,0.6,1.3,1.9,0.7,0.2,1,1.2307692307692308,1.25
25,10.4,1.2,39.5,0.2,0.5,38.5,0.7,1.0,69.2,1.1,2.3,3.4,0.2,0.4,0,1.0999999999999999,0.5
81,15.9,2.3,48.5,0.0,0.1,50.0,0.9,1.0,88.5,0.2,1.0,1.3,0.6,0.1,1,1.1666666666666667,2.5
63,14.0,1.9,46.6,0.0,0.0,0.0,0.9,1.4,62.1,1.5,2.2,3.6,0.4,0.4,1,1.119047619047619,0.36363636363636365
81,13.8,2.5,47.9,0.0,0.1,16.7,1.4,2.0,73.6,1.8,2.5,4.3,0.6,0.9,1,1.25,0.23076923076923075
61,13.2,2.1,43.7,0.0,0.0,0.0,1.0,1.6,64.3,1.0,1.8,2.8,0.2,0.2,1,1.1041666666666667,1.0
43,13.0,2.0,40.6,0.1,0.5,14.3,0.4,0.6,68.0,0.2,1.0,1.2,0.3,0.1,0,0.9199999999999999,2.3749999999999996
55,12.9,1.7,36.9,0.0,0.3,7.1,0.9,1.6,56.2,1.4,1.7,3.1,0.4,0.1,1,0.9347826086956522,0.5
59,12.4,1.6,54.7,0.0,0.1,25.0,0.9,1.4,67.1,0.7,1.4,2.1,0.6,0.2,0,1.4137931034482758,1.2
66,11.3,1.8,45.9,0.0,0.0,0.0,2.3,3.0,77.7,1.0,1.0,2.1,0.5,0.1,1,1.512820512820513,0.5833333333333334
70,34.5,6.1,40.5,0.8,3.0,26.4,3.7,5.2,70.3,1.4,4.8,6.2,1.9,0.6,0,1.1059602649006621,1.8
77,11.0,1.4,42.9,0.2,0.7,28.6,0.5,0.7,66.0,0.2,0.6,0.7,0.3,0.0,0,1.0294117647058825,2.0909090909090904
37,10.9,1.3,29.8,0.2,0.8,23.3,1.2,1.7,69.4,0.2,0.7,0.9,0.5,0.1,0,0.8863636363636362,1.2857142857142858
67,10.1,1.2,38.4,0.0,0.2,18.8,0.6,0.9,66.1,0.2,0.6,0.9,0.5,0.0,1,0.96875,2.2727272727272725
42,9.8,0.9,43.0,0.0,0.0,0.0,0.2,0.3,50.0,1.0,1.8,2.9,0.2,0.3,0,0.95,1.25
50,9.8,1.9,47.3,0.1,0.3,35.7,1.2,1.8,67.0,0.6,0.9,1.5,0.6,0.0,0,1.2682926829268295,1.125
65,9.5,2.1,47.6,0.0,0.4,7.1,0.8,1.0,82.8,0.6,0.9,1.5,0.1,0.0,0,1.1363636363636362,1.4999999999999998
65,9.5,2.1,47.6,0.0,0.4,7.1,0.8,1.0,82.8,0.6,0.9,1.5,0.1,0.0,1,1.1363636363636362,1.4999999999999998
82,21.2,2.7,54.2,0.0,0.0,0.0,1.5,3.2,48.5,2.1,3.8,5.9,0.7,0.6,0,1.3800000000000001,0.6153846153846154
82,21.2,2.7,54.2,0.0,0.0,0.0,1.5,3.2,48.5,2.1,3.8,5.9,0.7,0.6,1,1.3800000000000001,0.6153846153846154
44,9.4,1.0,31.3,0.3,0.9,32.5,0.3,0.4,78.9,0.3,0.7,1.0,0.4,0.1,1,0.8181818181818182,1.25
36,8.8,1.6,47.5,0.0,0.1,0.0,1.1,1.8,61.5,0.6,0.8,1.4,0.5,0.2,0,1.2647058823529411,0.8571428571428572
60,8.7,1.0,44.4,0.0,0.1,0.0,0.9,1.3,69.7,0.2,0.9,1.2,0.6,0.1,1,1.3181818181818181,2.8333333333333335
60,8.7,1.0,44.4,0.0,0.1,0.0,0.9,1.3,69.7,0.2,0.9,1.2,0.6,0.1,1,1.3181818181818181,2.8333333333333335
60,8.7,1.0,44.4,0.0,0.1,0.0,0.9,1.3,69.7,0.2,0.9,1.2,0.6,0.1,0,1.3181818181818181,2.8333333333333335
71,30.4,6.1,49.5,0.0,0.0,0.0,4.0,5.5,72.5,2.4,4.1,6.5,1.0,1.3,1,1.314516129032258,0.7142857142857143
71,30.4,6.1,49.5,0.0,0.0,0.0,4.0,5.5,72.5,2.4,4.1,6.5,1.0,1.3,1,1.314516129032258,0.7142857142857143
71,30.4,6.1,49.5,0.0,0.0,0.0,4.0,5.5,72.5,2.4,4.1,6.5,1.0,1.3,0,1.314516129032258,0.7142857142857143
34,8.6,1.4,39.2,0.4,1.4,31.9,0.2,0.3,54.5,0.4,0.4,0.8,0.3,0.2,1,0.9459459459459459,0.7499999999999999
34,8.6,1.4,39.2,0.4,1.4,31.9,0.2,0.3,54.5,0.4,0.4,0.8,0.3,0.2,1,0.9459459459459459,0.7499999999999999
34,8.6,1.4,39.2,0.4,1.4,31.9,0.2,0.3,54.5,0.4,0.4,0.8,0.3,0.2,0,0.9459459459459459,0.7499999999999999
45,8.3,1.8,49.4,0.0,0.1,0.0,0.9,1.5,60.9,1.3,1.1,2.4,0.2,0.1,0,1.25,0.4444444444444445
70,32.3,4.9,38.0,1.6,4.8,33.0,1.5,1.6,90.3,0.5,2.4,3.0,0.6,0.1,0,1.0,3.0000000000000004
57,7.7,0.7,36.8,0.1,0.4,25.0,0.4,0.7,61.5,0.4,0.8,1.2,0.3,0.1,0,1.0,1.0
52,7.3,1.0,39.3,0.1,0.2,27.3,0.5,0.6,81.3,0.5,0.9,1.3,0.2,0.1,1,1.0,0.5
51,6.5,0.8,55.3,0.0,0.0,0.0,0.3,0.5,46.4,0.7,1.4,2.1,0.2,0.3,1,1.2666666666666666,0.16666666666666669
35,6.2,1.3,43.5,0.1,0.3,40.0,0.5,0.5,88.9,0.3,0.4,0.7,0.2,0.2,0,1.064516129032258,0.5
48,5.7,0.4,23.8,0.0,0.1,16.7,0.3,0.4,76.5,0.2,0.4,0.6,0.3,0.0,0,0.6111111111111112,2.6
21,4.9,0.3,33.3,0.0,0.0,0.0,0.1,0.3,50.0,0.2,0.9,1.1,0.1,0.3,0,0.7777777777777777,1.0
36,4.3,0.6,33.8,0.1,0.2,28.6,0.7,0.8,80.0,0.2,0.4,0.6,0.1,0.0,0,1.0526315789473684,0.5
21,4.1,0.9,37.5,0.0,0.2,25.0,0.4,0.6,69.2,0.6,0.5,1.1,0.1,0.4,0,0.9565217391304349,0.0
79,34.4,8.2,46.8,0.4,1.1,36.7,5.2,6.4,81.0,2.0,3.9,5.9,1.0,0.2,1,1.2571428571428571,1.2352941176470589
81,33.8,7.9,49.8,0.0,0.3,19.0,2.8,3.6,77.5,1.9,3.3,5.1,1.9,0.8,1,1.169811320754717,1.4374999999999998
80,31.1,4.9,41.9,0.9,2.8,32.7,3.1,4.0,78.0,0.5,3.6,4.1,1.6,0.5,0,1.1794871794871795,1.2812499999999998
